1056,Der Puppenspieler von Mexiko
1057,Restaurantbedienung
1058,Bobby
1059,King Leonidas
1060,Queen Gorgo
1061,Theron
1062,Dilios
1063,Captain
1064,Stelios
1065,Astinos
1066,Ephialtes
1067,Daxos
1068,Xerxes
1069,Pleistarchos
1070,Leonidas at 15 yrs
1071,Loyalist
1072,Leonidas at 7 / 8 yrs
1073,Leonidas' Father
1074,Leonidas' Mother
1075,Messenger
1076,Partisan
1077,Elder councilman
1078,Oracle Girl
1079,Ephor #1
1080,Ephor #2
1081,Ephor #3
1082,Ephor #4
1083,Ephor #5
1084,Fighting Boy (12 yrs old)
1085,Councilman
1086,Spartan Baby Inspector
1087,Spartan with Stick
1088,Sentry #1
1089,Sentry #2
1090,Persian
1091,Burned Village Child
1092,Statesman
1093,Spartan Baby A
1094,Spartan Baby B
1095,Free Greek-Potter
1096,Free Greek-Baker
1097,Free Greek-Sculptor
1098,Spartan General
1099,Spartan General
1100,Spartan Boy
1101,Persian Emissary
1102,Uber Immortal (Giant)
1103,Persian General
1104,Potter
1105,Executioner
1106,Persian General Slaughtered
1107,Armless Concubine
1108,Blacksmith
1109,Mother at Market
1110,Daughter at Market (3 / 5 years old)
1111,Girl at Market
1112,Boy #1 at Market
1113,Other Council Guard
1114,Persian General
1115,Concubine #1
1116,Concubine #2
1117,Kissing Concubine #1
1118,Kissing Concubine #2
1119,Contortionist
1120,Dancer
1121,Dancer
1122,Dancer
1123,Slave Girl
1124,Slave Girl
1125,Slave Girl
1126,Slave Girl
1127,Slave Girl
1128,Slave Girl
1129,Slave Girl
1130,Slave Girl
1131,Slave Girl
1132,Slave Girl
1133,Slave Girl
1134,Transsexual (Asian) #1
1135,Transsexual (Arabian) #3
1136,Giant with Arrow
1137,Long Neck Woman
1138,Litter Bearer / Slave
1139,Ubermortal Vocals (voice)
1140,Market boy #2
1141,Spartan Soldier (uncredited)
1142,Persian (uncredited)
1143,Spartan Warrior (uncredited)
1144,Persian (uncredited)
1145,Market woman (uncredited)
1146,Capa
1147,Cassie
1148,Mace
1149,Corazon
1150,Searle
1151,Kaneda
1152,Harvey
1153,Trey
1154,Pinbacker
1155,Voice of Icarus
1156,Capa's Sister
1157,Child
1158,Casey (voice)
1159,April O'Neil (voice)
1160,Splinter (voice)
1161,Diner Cook (voice)
1162,Winters (voice)
1163,Karai (voice)
1164,Narrator (voice)
1165,Donatello / Additional Voices (voice)
1166,Leonardo (voice)
1167,Michelangelo (voice)
1168,Raphael / Nightwatcher (voice)
1169,Colonel Santino (voice)
1170,General Serpiente (voice)
1171,General Aguila / Additional Voices (voice)
1172,General Gato / Additional Voices (voice)
1173,Additional Voices (voice)
1174,Additional Voices (voice)
1175,Additional Voices (voice)
1176,Additional Voices (voice)
1177,Additional Voices (voice)
1178,Ilona
1179,László
1180,Hans Wieck
1181,András
1182,Ilonas Sohn
1183,Geigenspieler
1184,Der alte Wieck
1185,Frau Wieck
1186,Botschafter
1187,Frau Botschafter
1188,Arzt
1189,Zeichner Torresz
1190,Chefkoch Istvan
1191,Lehrling Inas
1192,Kartoffelhändler
1193,Matthew
1194,Isabelle
1195,Theo
1196,Mother
1197,Father
1198,Himself
1199,Himself
1200,Patrick
1201,First Buff
1202,Second Buff
1203,The Usherette
1204,Theo's Girlfriend
1205,Jae-yeong
1206,Yeo-jin
1207,Yeong-ki
1208,Salesman
1209,Musician
1210,Tidily Guy
1211,Happy Guy
1212,Sun-hwa
1213,Tae-suk
1214,Min-gyu
1215,Jailor
1216,Daughter-in-law of Old Man
1217,Son of Old Man
1218,Sung-hyuk
1219,Hyun-soo
1220,Ji-eun
1221,Jee-ah
1222,Detective Jo
1223,Mr. Bean
1224,David Langley
1225,Chairman
1226,Alison Langley
1227,George Grierson
1228,General Newton
1229,Elmer
1230,Security Buck
1231,Stingo Wheelie
1232,Det. Butler
1233,Kevin Langley
1234,Lord Walton
1235,Gareth
1236,Delilah
1237,Dr. Rosenblum
1238,Narrator
1239,Himself (Zephyr skate team)
1240,Himself
1241,Himself
1242,Himself
1243,Himself
1244,Himself
1245,Himself
1246,José Luis Torrente
1247,Rafi
1248,Amparito
1249,Reme
1250,Felipe Torrente
1251,Toneti
1252,Bombilla
1253,Antoñito
1254,Francés
1255,Cayetano
1256,Rodrigo
1257,Malaguita
1258,Borja
1259,Israel
1260,José Luis Torrente
1261,Cuco
1262,Mauricio Torrente
1263,Spinello
1264,Bella cantante
1265,Fabiano
1266,Alcalde de Marbella
1267,Gayolo
1268,Robertson
1269,Lolita
1270,Casera
1271,Barragán
1272,Cliente sauna #2
1273,Sr. Sauna
1274,Luisito
1275,Lulú, transexual
1276,Sra. Kowalski
1277,Pilingui
1278,Amparito
1279,Rafi
1280,Jefe de la policía
1281,Agente del FBI
1282,Novio bella cantante
1283,Dominguero
1284,Socorrista de la piscina
1285,Guijarro
1286,Antoñito
1287,José Luis Torrente
1288,Giannina Ricci
1289,Solís
1290,Josito
1291,Torrentes Großmutter
1292,Salas
1293,Betrunkener
1294,Montellini
1295,José María
1296,Robledillo
1297,Pepito
1298,José Maria
1299,Linares
1300,Ordoñez
1301,Barragán
1302,Contreras
1303,Dominguero
1304,Antoñito
1305,Señorona 1
1306,Arab Ambassador
1307,Traude Krüger
1308,Jenny von Loeben
1309,Mütze
1310,Kowalski
1311,Ayse
1312,Direktor Meyerbeer
1313,Gerhard von Loeben
1314,Nadine Hoffmann
1315,Clara Mütze
1316,Journalist Wahrig
1317,Himself
1318,Herself
1319,Herself - Stephen Hawking's Aunt
1320,Herself - Stephen Hawking's Sister
1321,Patrick Bateman
1322,Det. Donald Kimball
1323,Paul Allen
1324,Craig McDermott
1325,Courtney Rawlinson
1326,Luis Carruthers
1327,David Van Patten
1328,Jean
1329,Christie
1330,Timothy Bryce
1331,Elizabeth
1332,Evelyn Williams
1333,Harold Carnes
1334,Daisy
1335,Homeless Man
1336,Victoria
1337,Mrs. Wolfe
